frame_centrale,label,epaule_f,coude_f,hanche_f,genou_f,cheville_f,epaule_nf,coude_nf,hanche_nf,genou_nf,cheville_nf,v_ang_cuisse,v_ang_jambe,v_lin_hanche,v_lin_genou,v_lin_orteil,dist_pied_ballon
5,unknown,42.67884172615914,162.89961190090784,29.707277204244246,17.406929822553018,104.32544640419812,176.51999272741648,3.1659687042837783,75.8456819584853,131.5928878117049,131.4945856579527,7.943881750347016,13.463686527078053,3.134640024637178,3.2186168795759382,3.2772031510819977,53.23461615554033
6,unknown,46.13626390836351,157.01652648289377,30.113731949632005,21.800583498803377,116.42806362572219,177.00090087618884,2.7147523450832463,80.90455661681959,126.76210099442133,128.3636907408825,8.920790599412369,13.993176208821982,3.35373496843088,3.389785152027128,3.274649559628066,53.84428277872894
7,unknown,63.75966668009536,140.95146152213482,32.04383358649165,28.96263662629869,107.36156552778948,177.06854706508784,2.71548572718693,81.37508305824909,118.87290113288789,123.01069761580034,12.20501743620817,17.051589253071803,3.941516146731999,3.8530193218923605,3.5688958631956504,51.538708657545484
8,unknown,77.14718387814756,128.11244184265408,35.1828324517688,36.93596850866354,96.64159162033494,176.9222265942963,2.7690023708796825,80.61675591423257,109.6346824856611,117.39748130899424,13.433871021654175,18.40060803876517,4.270483464424264,4.170168999646345,3.3259976192591587,51.271694647869964
9,unknown,92.53312959851291,113.21053437920152,39.08777874105173,43.0367535846794,83.74944549674085,177.08124660075106,2.8226411010675947,78.42438297222468,98.88806254934583,111.21115669557221,14.867916819645547,19.519115188499264,4.365120418776798,4.287516447676099,3.2836016937349832,52.56283152553919
10,unknown,105.99291199810379,97.29206791802059,42.49864786795051,47.77155871038875,89.14214042322162,177.05438808270873,2.7642120106809225,76.51347819222227,88.8539467243738,108.11671435191172,15.117149466326833,19.794428486169018,4.362486951829566,4.267650764878033,3.373153787615519,55.612436727357824
11,unknown,108.38788806863099,81.5785747409919,45.463242139495115,50.94530158182654,90.08620747072524,177.04224686294015,2.566499611778871,74.2929128086923,79.08592713685555,102.82028961160472,15.426810069854358,19.52833224871524,4.333240135198233,4.25118865632068,3.3361125286928948,65.82968423669008
12,unknown,124.6024638685823,65.29795427661453,48.196365970327506,52.390185677076616,75.17364100383386,176.88375646192873,2.8222972934877992,69.5724170770026,70.11029104372486,105.48904393662845,12.926879721694615,18.735948754327673,4.598651939701471,4.462517036555165,3.4010240973149215,69.45559829865023
13,unknown,141.1479496002428,49.91419628678572,50.903820928235376,53.06083111089108,72.58379861667224,176.62050387567177,3.1678463448248735,65.58632384737969,59.23840703483786,107.94510179250938,12.192477219627829,17.08391174665531,5.043597268174481,4.884582963934092,3.6228850581500254,78.51218376741272
14,unknown,152.00759909402672,39.95138104174287,53.756381764984425,51.30561749077397,63.85344089571559,176.24483188890468,3.1770464179641955,59.98573528702455,51.67097256895477,112.92790714091056,10.57798188889561,13.939678560639564,5.474404865084313,5.347991068872912,4.104125745972451,83.6973516649824
15,unknown,167.15505019796433,27.148185417018134,56.9989993285822,48.856099894487514,55.40912510799118,176.40265196640215,3.481363148363518,54.068705898369316,43.45478825742433,117.67689006477414,10.26154106059551,13.290928714992216,6.109091299643542,5.970912596437316,4.474577428531228,88.43080540810833
16,unknown,176.67011446242543,17.048121270084966,59.70807435439268,46.65903950771904,46.57497641675819,176.0741629760584,3.9256132926548917,46.2708506333866,33.11833593929371,119.05989063709542,8.59977288872289,11.65948005268894,6.2616756571925505,6.173805333893641,4.810317557826059,92.32588913404152
17,unknown,176.84334665230284,17.121206093349862,61.16497179171021,41.867551382443956,45.47640450458304,175.5587763723903,4.45349427074917,42.20577334442779,29.9199825888453,119.19544760685221,4.866994912698976,4.521381085006726,6.114726734624027,6.120862997598583,4.984326759577189,95.14538481083602
18,unknown,177.7295344359847,16.355214363372905,61.56255008143245,36.26774286606411,45.6346942594617,175.17031446242694,4.7032262790582635,39.346612418747696,28.422649644455287,119.75174873046367,3.6610785494202647,2.820360678948325,5.998661692041245,5.992492885547855,5.350417779963886,96.99997486710468
19,unknown,178.27669696994494,15.843295721075147,60.87977481859404,32.504494626690885,49.026768830221314,174.76304220639426,4.98607762868323,38.79374921997853,28.50354775535677,122.31948729390513,1.8011901090373044,1.7716832954172332,5.798272607666421,5.817002722638629,5.477541431839465,98.94370613281406
