frame_centrale,label,epaule_f,coude_f,hanche_f,genou_f,cheville_f,epaule_nf,coude_nf,hanche_nf,genou_nf,cheville_nf,v_ang_cuisse,v_ang_jambe,v_lin_hanche,v_lin_genou,v_lin_orteil,dist_pied_ballon
5,unknown,176.53138596670087,19.56983232403672,70.88297443872057,32.35404339686185,105.56242775383285,171.59638694038614,5.389079426055352,37.98657460063435,27.081145397230284,145.7968464451384,1.7241303694065806,3.8420073525603278,1.3956493368989762,1.4157959144785548,1.1634446590506293,
6,unknown,176.60993055675692,20.064455484360938,69.44073777008649,34.040352368169465,99.75799344439176,172.10445015573413,5.242378935057127,38.385855826605464,27.637164896270537,147.5857570059652,1.665832405555004,3.6644503611638797,1.2839930182241983,1.3198164184899486,1.0752333334480009,
7,unknown,176.43109640528843,21.30724777441471,68.74812071660077,35.20677689126725,92.52344632619622,173.19007825714604,5.393038150184439,38.46359657276498,27.245700130357754,147.8919684330714,1.3442919257433936,3.15485262682609,1.2504194794599224,1.302573762857653,1.169098073782059,
8,unknown,176.52959818741945,22.518829281135258,68.47817332096324,36.003629410144725,83.19975493280234,174.59472922120182,5.251118294263483,38.63894581209477,26.339904804740957,146.3787529706408,1.441900418913678,2.6405220671220677,1.2051534209816634,1.256515431134051,1.1979633831550232,
9,unknown,176.51780910476836,23.789900292305184,69.36196806445528,36.501632454562845,75.32892942401159,175.4508770732637,5.114300982252843,38.79794544837668,25.425478691607076,144.0243759972769,1.4255508158657926,2.6491528546391505,1.0018457412579271,1.0206552923991903,1.2619941037626776,
10,unknown,176.38257083001085,25.03184858038251,71.04142062059326,36.44964858014369,73.98464674985877,175.97888371491587,4.734432292278389,38.91212077811377,24.680944783200204,135.9889065542507,1.380726509320965,2.479260649912137,0.8378715727228048,0.8149067468450852,1.4015091181140662,29.37842345238605
11,unknown,176.4226635422138,26.218545503959433,73.24829278862242,37.201796843722455,82.08062690246706,176.16861969486956,4.678127683505567,38.73087632983106,23.544083929280596,127.60784928750581,1.6761462873407502,2.871587595424875,0.928048891294085,0.9343667949114334,1.6634474400637402,27.78918898355763
12,unknown,176.81167456679643,27.714761506657936,75.45409025073877,39.01127616088242,89.98391149458146,176.1206296109729,5.1345490129298055,38.942879609137385,23.648332873322907,117.30495298223482,1.9876098010789307,2.743715113065753,1.0467802606275942,1.0192382210801332,1.6944313623130018,28.62227524359982
13,unknown,176.4802348414891,32.67785767622074,77.83564495564268,41.81003339256283,96.15186052169753,175.71980568272903,6.914775272412962,39.63456801385702,22.773768736633883,103.33008572915507,2.467294926492248,2.8604365640216893,1.031478768893093,0.9751423758334429,1.8931521075421203,29.9691835360941
14,unknown,176.60471982160504,37.506195217413996,78.297950004259,42.98189312872927,100.20322258577286,174.50562185526093,8.928652980305776,40.10294818845237,20.254566345253487,88.99447715443848,2.690603156616541,4.149356293901573,1.1049732249207758,1.0588662433275744,1.8760780359407296,32.114219672049025
15,unknown,176.47982434273794,44.09634587311003,78.98552507426221,43.084780390324326,105.48334035585,171.972391717938,13.884283409717506,41.21541365894738,19.125717424212972,83.80944098850352,2.7509500905388933,5.2951365110607655,1.2152338892944956,1.1462677384857993,1.910572566758097,34.722248029292864
16,unknown,176.4472102505801,52.39570411102166,79.3140774081813,43.31635315953723,114.60668089559333,170.79956753246262,20.328827041714828,42.986815176924644,17.44080762525615,70.06359722509087,3.409886138021156,5.437909901257908,1.3494919056863885,1.2477125712302677,2.1143089340973673,34.722248029292864
17,unknown,172.7507666363426,63.09141790954311,78.70157240906245,43.475707840927974,123.92503096538955,170.44244536281977,21.419374741141304,45.31492119481995,21.92531416187311,59.31564356349406,3.9665906379391886,11.16943970621645,1.416019647814861,1.2929550725366918,2.2549407433025253,34.722248029292864
18,unknown,170.47558645832333,74.6690225329053,75.30340557172943,45.62188251744453,130.64605153060685,170.55715917331804,23.027869815392897,47.857153826307616,24.723299687771163,49.14772092968662,4.180717251531553,12.752331617736147,1.5063774037680444,1.4163407923010762,2.263084278148544,34.722248029292864
19,unknown,169.9577690998485,77.5893777207155,76.43570493830762,47.386866682467016,135.47802959364736,170.36119497353528,24.334238382863187,48.72632086679635,24.82551504381349,42.065988684340965,5.803541570000704,15.448101787591877,1.6538164027225135,1.649338140372914,2.2952156729578803,34.722248029292864
20,unknown,169.39057984873142,79.48598194572828,77.10370670027494,49.50067282706033,138.8984417328384,170.42917704937537,25.245190918798194,49.1176409065664,24.77316703851589,41.57032946067272,5.962358091870036,15.6026651489318,1.832608407553644,1.8913240699103355,2.3336385299365867,35.79101294467423
21,unknown,169.0715896468026,80.21406442696941,77.1502103055435,51.40376325623896,133.673679687104,170.63977199387676,25.69810433743561,49.94954852746524,26.00571110742149,41.52596786866902,5.521770510741241,15.398618008913534,1.91598506359013,1.9425436078345537,2.1769280872237333,38.188777552160474
22,unknown,168.43065138716753,80.2345809512486,76.11128812111681,53.24611956362431,127.57935550435361,171.32994412947815,25.473025129998565,50.908786869657206,26.29213601178977,45.789624325872374,5.649101232034358,15.231499857848055,1.8198920508284668,1.9017770077272964,2.1519124070615536,40.822220814985904
23,unknown,168.42202253577494,77.69644816733616,74.93233101094289,52.14678283996402,125.82205864611419,172.23209638703648,24.193251448876104,51.134236839989434,26.59085940343069,54.32173849055507,5.0851674681473815,15.219201370575414,1.740729096811107,1.80423868600007,1.8827048805850606,44.228377015690384
24,unknown,168.37745153695798,72.52174282360741,75.0536697091546,51.80610783200119,124.62658229677031,173.79983296451786,22.155432068895315,51.415422887853936,29.300986767203227,60.279855936806335,5.029431390615109,14.697047358135762,1.8822064543671388,2.005656140909213,1.8197111270733064,47.76238981551204
25,unknown,168.47567815630885,65.59336422329334,74.40613777031669,51.335316710135125,123.35830477661068,176.67447014651185,17.382190494245037,51.22293430749174,31.072020812860984,59.21638604945404,4.798673789019789,13.75795404002099,1.8409134828880513,2.008780869416165,1.7098817925014749,
26,unknown,167.73832603207825,57.48062943840464,73.39796503682106,50.241155263023735,117.43351655744152,177.88357269133326,10.836627281554335,50.5688658355767,33.29718545848713,66.78780765001095,4.337093897466938,13.51325037187593,2.005464708124417,2.190620001499588,1.576849337469823,
27,unknown,170.87839644507432,46.738432594406206,73.15269849423353,49.80535241647067,110.23482879142443,178.26109307417414,9.727767261388014,48.86002801498505,29.622042486310857,73.03119362544176,4.100178685115337,7.612942754073501,1.9843981473579764,2.220702559542189,1.491376066357014,
28,unknown,172.68321027444193,34.77050835630497,75.2240048170339,47.19531863092771,105.45351128578757,178.2772709563265,8.13502487080575,46.8871865538225,27.668777076588402,79.28822670294838,3.8361750445444485,6.065407394288722,2.1401704662656256,2.337410942694765,1.5487097082090924,
29,unknown,172.94901295623728,31.44514140375689,72.01751048092353,45.00499017565689,98.01813441586218,178.70523809429423,6.707093735150375,46.78243811729659,28.293841398428395,83.06481037941016,2.408378159712999,3.4870776627262714,2.1364456387767055,2.2414540501140907,1.4996287093783316,
30,unknown,173.50016013387543,28.63492104447041,68.95519438933255,42.68304611364063,89.91438058257707,178.74600620856336,5.834768440464353,47.38175113835964,29.320963918771007,86.1763646420241,2.475776094713948,3.216582575105643,2.207171240929422,2.276726305930141,1.5163605879516853,
