frame_centrale,label,epaule_f,coude_f,hanche_f,genou_f,cheville_f,epaule_nf,coude_nf,hanche_nf,genou_nf,cheville_nf,v_ang_cuisse,v_ang_jambe,v_lin_hanche,v_lin_genou,v_lin_orteil,dist_pied_ballon
5,unknown,108.53791289581928,161.53152598770703,38.19798901703861,5.628216977494122,147.3936599290251,178.4666588009527,5.389753641042706,70.52278942741263,103.71145405664652,99.60544870876345,6.668594665696681,31.28879173805014,1.815053670543425,1.8518741652779127,2.0547080152501285,99.3597551268153
6,unknown,96.10916272258685,160.14069106256298,37.41870444765274,5.933561956351502,144.37052079420496,178.75111913539726,4.471454761080774,74.22585513992638,113.10651426461793,109.648853631749,7.053529509769282,28.452396112890334,1.7195869886935253,1.77393762518766,2.0829477678136095,90.82909429550891
7,unknown,85.53833882815115,160.32476848545005,37.35710318283621,6.791282722102492,141.38597196087215,178.92105023053512,3.903185408759648,77.9882468524515,122.12085962533695,120.58258169147646,7.112855509780646,28.071681265637913,1.853723284848515,1.9164856479269765,2.252960978423454,81.56136459516793
8,unknown,72.58966725888175,159.67861739918507,37.524879075729196,8.676079364476282,138.87983491651167,179.00084658966517,3.303396442881584,82.99421651495624,126.40509859357644,128.17843084807853,8.356433459760293,24.002846310847367,1.7966635717207666,1.8828133152503945,2.3591960792099953,71.39269490283858
9,unknown,64.50714341810337,153.70386005762145,37.43692521594669,8.721869133350278,132.53149755428478,179.05143947569724,3.380341501165474,88.67196204971074,132.1713710706784,138.6050640540332,9.028209332010057,22.520812801984924,1.7384985397322683,1.8358112869672318,2.2831002874812762,66.6248457223412
10,unknown,56.163927887132104,153.3557663851967,36.56708922909958,13.650039472227416,125.64682241450805,179.1103418501917,3.2478096865041204,90.86677120886013,126.80329263495041,136.39261223073427,10.820920476642518,11.386461889154978,1.8764650304428252,1.939478417409537,2.1552962068318466,56.33439992108234
11,unknown,58.02771906752639,149.32990366873108,35.71822063504768,17.870163008499784,120.48459339576075,179.1846354898301,3.730673405702286,93.49799714106858,124.25427856981909,137.97439908009534,11.257337249701589,8.567397518558312,1.8558291351863694,1.916973555053921,2.1061056954677486,51.42317007662901
12,unknown,65.21246599634053,137.4311993167477,34.977898771400696,22.39641088483777,116.6129646478684,179.2349126605137,3.66230742332894,100.9918817448519,120.69817476908898,140.86913990264662,13.933469392722468,7.560307782959496,1.6065768771788378,1.653173385850804,1.9949571210013495,43.168502290648235
13,unknown,71.74460843678379,122.67120744058141,34.276017028499375,26.419933170922057,112.9777514916306,179.0917264937704,3.192765005089864,110.68850549563399,114.80670980647376,143.77712912787246,15.022500517784987,7.47423095462578,1.375090817873286,1.4483477419658428,1.905007048973964,37.6740293323926
14,unknown,81.43236492203239,108.34261470848078,34.03192972662123,37.94558744129945,111.25909549082003,178.91772803549713,2.762203612035527,117.4100330992936,110.0159149222468,147.91471230520395,15.260969508619658,6.3735608762375175,1.3330894996964833,1.4307813975040347,1.9940614331229867,34.31135757337464
15,unknown,93.39468567660754,93.98604138368948,34.989916737948334,50.924122470043294,114.4289911839443,178.7436998587726,2.574421861562492,123.89409107755789,107.50422630236304,153.32202742795064,15.498439134014987,5.81343373110978,1.2417860945866528,1.3274321787234875,2.015777255189224,34.08168776412087
16,unknown,108.18964429805115,78.83323151901911,36.029281950343474,66.93431792615661,117.95490827142828,178.6476240697891,2.499434656228335,131.19516116288275,106.31786280929339,157.20556679923118,16.315451241075547,6.55379176063347,1.247962922161591,1.3075527563910154,1.8893338152776675,39.52134364980566
17,unknown,122.65674088182763,62.150486683127745,36.1442678418945,77.19644044014792,116.4655767271826,178.73075611630992,2.5337145051124823,136.9565452462642,103.6741453478957,161.15701616504185,17.162924887574913,7.9295744059061635,1.195578884718806,1.2471672205268065,1.7469670795030887,37.55873385452911
18,unknown,137.0446036956952,47.84538678381476,36.43790614767862,83.04964948492906,111.34161358198864,178.82182766115895,2.870391132733506,135.16839726015775,100.13682337432013,163.91445548857567,22.03184714606936,8.82317891808405,1.1450246308210719,1.1780917481825128,1.5862403920833619,40.07280313378741
19,unknown,145.4971012592261,38.72020295048592,35.610294193045874,91.07373095939259,111.95011579972216,178.90360546526912,2.919985700593519,131.48712818261646,96.79819846464143,165.46209096865755,22.280145236043843,8.624481854187193,1.0965971352924142,1.1378567608220127,1.431225603338115,40.072803133787396
20,unknown,159.4917377272701,22.785513912963133,34.99899648940718,94.25900892774412,113.56774068918386,178.69718149824445,2.843156463514261,129.67988119819503,92.13440473115267,167.1818438326239,20.406123142923946,9.008993096579387,1.0079845485709327,1.0635766193637393,1.3047630318887393,44.99753865719047
21,unknown,168.61791903513858,12.872368641729542,35.011599803780065,96.89921995007656,113.54114505185734,178.65633266622558,2.522565577705005,126.22191143165408,88.27537867288734,168.92994838248524,18.75540036080435,8.204225421355957,1.278722300507574,1.279256465104763,1.2538855363993355,44.99753865719047
22,unknown,171.418625084526,9.715522395302012,34.850658414185965,98.89406378250389,113.34394989209787,178.70439355834472,2.629984136750206,119.79024510269642,84.69033660747378,168.7272028426201,15.781703798387696,8.478209414207734,1.2780021384239029,1.2927193125693706,1.1832743251702111,48.678819807391754
23,unknown,172.31427250757417,8.701687122938141,34.36471465464052,101.4375566330053,113.98292950113395,178.8484275131213,3.0684259820190443,112.4073714054628,82.1825523006512,168.51114324548243,14.830496430111703,7.400951655616765,1.3395887938291968,1.3448748635857606,1.204184771917716,51.989369764145245
24,unknown,172.22984552329166,8.688867402289855,33.85712734025304,97.14690460232843,112.37387220112369,178.75046742190406,3.009531995303163,105.6433820418811,78.16240125654022,166.71795578412707,14.211612096459742,8.913318392905154,1.4796611573954066,1.4330255700556642,1.1790997048944276,53.043116958839676
25,unknown,172.14652119947112,6.770913965530463,31.825281617215854,90.55595542310138,108.15576773796121,178.749294173184,3.2151032617223274,98.6774986482614,73.75480570710127,163.45348792571892,14.413506126497774,8.525873887577177,1.410521668190309,1.405033047739738,1.025253520571632,81.20010889365453
26,unknown,172.13633936392802,6.223552253599932,30.737643333178887,81.04387511609352,103.25466783567072,178.60293228619884,3.184877037705588,88.14769371585574,66.98402626050353,160.44388257593656,14.239814829878082,8.823374628398177,1.5876748579240594,1.5639007705628811,1.0588296551294036,103.58716524039345
27,unknown,172.92427154106198,6.240356029425435,30.589005854254264,75.93304147672154,104.56800273998567,178.42391496537954,3.150360149566774,78.16175227641517,61.62638789223613,156.74136095447608,13.695951336912946,7.410233550067841,1.6183710024815716,1.6061697338507763,1.0842826028344432,152.64027266036825
28,unknown,174.10508262799385,6.074981878090912,31.09601556063136,74.7618126310177,108.16708839080577,178.20210584590637,2.7531027380139435,73.69326901433962,56.80539720431592,153.55039722309422,8.178493159547955,6.873585869720631,1.8495206402623823,1.8135390761024024,1.234931859322543,152.64027266036825
29,unknown,174.8974606068339,6.402787788148446,33.44001256585968,72.65094906627122,111.37828993749538,177.95943298221107,2.3313827661194995,69.9212317528423,52.18916573632729,150.790583508321,7.482047158969716,6.668826649789075,2.0379178019730375,1.9976010747706616,1.3080319534681935,152.64027266036825
30,unknown,175.0936970463833,7.688167243413652,36.08519740068384,68.84346275686589,109.85823527103369,177.88362837829698,2.311849980470186,67.19233524540942,48.327386748121604,148.12643751612396,6.997584579036354,5.9143741700061225,1.9622170833682575,1.9371372569430936,1.3673441213313469,152.64027266036825
31,unknown,175.12366518597202,8.39118812466283,38.210605636531625,64.69262210484433,103.05349821934878,177.75820356458857,2.186644854126924,63.62914272245399,44.93023678275425,145.31568014941152,7.102623922358231,5.449745147167773,1.8051439211364233,1.8174219292971454,1.4147180094937204,152.64027266036825
32,unknown,175.55031497255942,9.521920226179267,40.49702334042416,61.029125139610244,96.83088049345983,177.68607140288742,1.8158027737796882,59.01973448393066,41.1284880486801,143.6964573048246,6.557441948163694,5.045146378460956,1.8362628568915678,1.8358536966713679,1.4696036055905366,152.64027266036825
33,unknown,175.66432007221246,11.23845909543839,43.19062092337772,57.59711267432772,90.24305830241244,177.58116317642597,1.305357176015136,54.043808165081714,37.48921854846012,142.16729873698566,6.1909238678380785,5.1128567959456985,1.864692484445548,1.8794499182370532,1.435948903973419,152.64027266036825
34,unknown,175.45407461360415,11.370839674425715,45.04442400236677,53.3422970296784,87.87011754173821,177.7716040743149,1.276808156411238,50.47939310322697,36.16599316646345,141.22859400252716,5.626638654179077,4.235886469337098,1.677575819845582,1.728641292138941,1.288071145264143,152.64027266036825
35,unknown,175.79952971172014,12.529464247181718,47.45331991631522,49.83462677885219,85.77571975817409,177.80655204863837,1.0577081275395943,47.60637747933118,34.610231856460516,141.1772889289097,5.389081534506001,4.003350541330842,1.7813662435002862,1.8190942700795105,1.3996741162109156,157.95737967980443
36,unknown,175.54357210076807,13.237525072733439,49.18950625719499,46.21578810972222,85.10184858057976,177.9258700430232,1.2264488667201352,46.016558125103906,34.19576350247688,141.26216877951532,4.1058852648374815,2.8620575853115446,1.6707850935811632,1.7348734049495111,1.401527981261975,163.6725158667144
37,unknown,175.44924263290216,14.4514258643619,50.72392364775284,43.67379419067024,83.84377753456387,177.92500777390157,1.2139525639017255,45.52546059549883,34.068952050958714,141.4493095335091,3.9051744269471627,3.142860030836958,1.6256532890123971,1.6896521053320939,1.4233589346266762,
