frame_centrale,label,epaule_f,coude_f,hanche_f,genou_f,cheville_f,epaule_nf,coude_nf,hanche_nf,genou_nf,cheville_nf,v_ang_cuisse,v_ang_jambe,v_lin_hanche,v_lin_genou,v_lin_orteil,dist_pied_ballon
5,approche,178.62914943557445,20.31318437369248,47.435520953659776,59.67169658521287,148.67580919401695,177.8890460208192,1.7998152078838694,40.79387138960756,31.90855912824072,85.13708700729663,0.5405184247900681,0.8014085853683047,0.1306090367968914,0.136231081827882,0.2069675692268709,207.20326222396403
6,approche,178.59356275846127,20.65698098061716,55.881618745230455,65.15383603364998,148.99282288664642,177.80142075653788,2.143928709017461,40.32662953401604,31.722370114952053,85.66172232827111,0.4898091078720029,0.7547884468731183,0.1327708539750133,0.1386647805533705,0.1874763194912035,207.20579095461684
7,approche,178.64271327093178,20.841799854184035,66.68412189009993,72.93944493820398,149.79827700947314,177.76871426931558,2.486730149533191,39.9289950450101,31.31872803122392,85.87604324712879,0.4202017412864208,0.6649692231509373,0.1158644688093271,0.1332569527545149,0.189636529711975,207.23171526150625
8,approche,178.75905146281008,20.920409485090826,73.05400980811176,79.25603076687801,150.02664967175102,177.78550053165577,2.8211302102896214,39.591253916592,30.828881626992825,85.89879004334809,0.3603083806985808,0.5937807456665147,0.1276857336471101,0.1433945238476392,0.1833585187969487,207.1616992744786
9,approche,178.90556124928622,20.73997499883287,83.81144769024372,86.82932321714576,150.21644638238496,177.76896822176676,3.1694298747709846,39.36096972749126,30.29000399660008,85.63230008941888,0.2528514413812168,0.5447495195048628,0.1283791691767418,0.1402918564076282,0.1415625135593063,207.1109208006176
10,approche,179.01728334517935,20.0961401019992,93.75413850994838,93.56205746314885,150.4037030908512,177.72522673949226,3.556361975278223,39.16630908621004,29.829158670142057,85.26164750672072,0.2577996162329761,0.4941712750844928,0.1340294155813635,0.1425058874656277,0.1095274510878501,207.06380784002369
11,approche,179.18456234672016,19.30542923815037,102.06985251315616,98.61911374853842,150.6850894791595,177.76419450530707,3.8361289173679096,38.92918871211306,29.450337754587103,84.87654037628957,0.284377147890121,0.41214686418143,0.1364788190605148,0.1415965117023782,0.0964133469967444,207.0246052521351
12,approche,179.32336468477214,18.689247556907905,109.1815216034179,102.45281344566402,151.00120095792272,177.88661312911887,4.019585862389826,38.71968792291915,29.221040330829908,84.53314168902155,0.2567575629870632,0.3521852576063938,0.1215655375357698,0.129255556662324,0.0989586321846594,207.0047208421284
13,approche,179.4243379714436,18.375552599693044,115.98707609029825,105.98724094888878,151.1747215402117,178.07190782060542,4.083564784033278,38.56303424214083,29.04908543661846,84.09279023433871,0.2039104545714608,0.2948427280606395,0.1194249864003608,0.1171187512551706,0.1205332001302366,206.87785276164203
14,approche,179.48467777550744,18.23466526163609,123.03625903749996,109.68097590396049,151.54470329573223,178.26831936988836,3.876495419556656,38.367756969151685,28.86340845844593,83.51988613957576,0.2425340467822977,0.3085648120217186,0.1284860216201787,0.1198043949381677,0.1171663717001484,206.7634467439906
15,approche,179.51172354497575,18.257957642354995,124.9187988039772,108.2695457048857,151.94624227263367,178.44257995276342,3.611088565104464,38.18710808681955,28.755477804201824,82.96921487995219,0.244521112932712,0.2796466396724995,0.1297514950172459,0.1199648566204228,0.1225150593956513,206.65195430860325
16,approche,179.46977277391014,18.356763580658267,117.86795318872802,101.08232963743714,152.2577379824616,178.61985080832042,3.323207384253595,37.984831370664544,28.678843498389305,82.54671023219359,0.2594638956336865,0.2483502912409054,0.1241668874920068,0.1122108067984653,0.135892392894838,206.6345919716101
17,approche,179.42306993965258,18.52906543578548,114.61057049611156,97.78075546639352,152.35772439916872,178.7765302790495,3.0233675182217925,37.871861153369984,28.66753433612313,82.19616001867504,0.2442582753603517,0.1860415880699623,0.1244234009530408,0.1131628010420071,0.1291545351139577,206.6199611711301
18,approche,179.34564436679298,18.788726818473396,109.69526215089353,92.83460158438184,152.53765505281405,178.89115723120804,2.705139264721127,37.81482815456766,28.645489205095327,81.91102263344106,0.28803789917648,0.196777556831584,0.1113890822338624,0.103744640806262,0.1498950625281583,206.6185755483719
19,approche,179.25959918702586,19.17198860567651,104.16989588222695,87.28079664758553,152.73484468867971,179.0307358396864,2.290007674068929,37.818594402572245,28.631275873734133,81.70980261661296,0.3320871411218171,0.2046093564981809,0.1026090659896939,0.0966655152763043,0.1537666357221623,206.61985468798488
20,approche,179.16897230187132,19.674911804105587,97.9071604272694,80.99511799796807,152.9687245213408,179.219088879949,1.8298230005404807,37.811760714939496,28.59424117246549,81.54832773571147,0.3214872054844847,0.1999766668912489,0.0972163547882414,0.0914023152351304,0.1510684179505595,206.62566262517836
21,approche,179.00995829230527,20.20089918826277,93.49135003169974,76.6201897584942,153.12692292298658,179.40705790799015,1.4288154522250949,37.83501403969631,28.57033658887541,81.40172824424066,0.2914001930949126,0.2115916759803138,0.1016975137253354,0.0970140352576769,0.1408498742858884,206.63383851152085
22,approche,178.8576691727978,20.752037356904783,89.4420433704934,72.7097160714861,153.1407252296421,179.52168904978782,1.0452957053711267,37.90301839614029,28.5253247344255,81.24140931764074,0.2739602932732367,0.1904844051204815,0.102035253226791,0.0959054237633945,0.1339284587673844,206.6430459624464
23,approche,178.6944611589696,21.39388172159678,83.78918815022432,67.24399272886858,153.06505870002258,179.54958639696628,0.7911681247206539,38.02492061124319,28.523313878996717,81.18091716007234,0.2790353017478587,0.1875778666374749,0.1002910229371191,0.1038448259861283,0.108045625449455,206.65632281068991
24,approche,178.57866871048196,22.153529293247185,77.53184130409424,61.19980667009212,152.2888667338404,179.53837968284512,0.8527190683349832,38.23700183943703,28.61551129362645,81.2971216087325,0.2575150844114106,0.1513226186921219,0.0993825088631093,0.1153515924798738,0.1077732391270949,206.661878934316
25,approche,178.44601463435015,22.94186738798012,69.61806079281226,53.47698427052061,151.69229122247577,179.5305082945249,1.0587897601869298,38.4502693949149,28.636405190050123,81.35141236530147,0.2587014116954435,0.1737979853189855,0.1005420628512004,0.1140864425383096,0.1031786183179926,206.66292634200173
26,approche,178.347495971358,23.70806272649953,61.2261916931986,48.34175172046233,151.07547206781112,179.53159974332732,1.2817474879344015,38.68721974781502,28.63210624573189,81.33353751880918,0.2458135925938648,0.1989908260608985,0.1059968993627215,0.1204897016793073,0.0913359540221594,206.573286251544
27,approche,178.26259197776434,24.411712498390944,54.40889072396303,41.60027948600863,150.8063716348322,179.4962390112514,1.539685099606888,38.91394994735463,28.625136867489665,81.30958456637516,0.235593439233353,0.1986448196094944,0.1065944301420723,0.1191946648522533,0.0968796372165618,206.4885986998906
28,approche,178.20727079872782,25.06975512029839,50.83727163826328,38.061096924197415,150.86650098446646,179.4305625511116,1.8179962240369956,39.09596272260728,28.58815694887729,81.29740303824755,0.1908760149463852,0.2286553599796402,0.1057882110207239,0.1156156583681186,0.0913290438350583,206.5150697867424
29,approche,178.16008898381102,25.691261715460644,44.65365149803355,31.962429186065812,150.96413212183475,179.34085036151876,2.0985811353751838,39.23565787059647,28.52224917956861,81.30442711754135,0.1485583876829345,0.2360477222306375,0.1026407489800463,0.1120679592305704,0.0890072570866872,206.5450658618904
30,approche,178.1249413003316,26.321398141032176,39.61637978645118,27.06999666770309,151.06485682482543,179.2374754094304,2.353745525191806,39.375613034720025,28.456021560202856,81.36391692126887,0.1488184038172988,0.2363675722877218,0.0931427329174403,0.105626783561788,0.1086427131672045,206.47769167847264
31,approche,178.12384678777843,27.152654157700017,35.10732231281509,25.46711436095865,150.81771149586342,179.08938142821813,2.505533863845582,39.62309923682494,28.47159337857996,81.4483286388113,0.2474862021049219,0.3181670100305922,0.0857223357093993,0.1090469328596503,0.1249716886484982,206.4111393338379
32,approche,178.10827270600657,28.025509969321167,30.526050108969716,23.79124998679193,150.33303009144123,178.98996063036125,2.7176403302709184,39.88703261815694,28.51269324401964,81.51289309575864,0.2639333813319965,0.343695057093161,0.0824765795536432,0.1071968829666225,0.1388823045769686,206.34705635172855
33,approche,178.0961903029031,28.74249446083576,27.08709275087903,23.20536260032049,150.22146086169818,178.92750817961564,2.9645094143097226,40.13687658762562,28.52148669534835,81.5136011664902,0.2498439694686816,0.335907010665991,0.0836019958414928,0.1018760482026074,0.1561853924959489,206.29119952864457
34,approche,178.08494566450878,29.053923333121475,22.699576685366665,20.75516079757748,150.5611131521128,178.9001397125183,3.126882241447041,40.34716036225753,28.532948998243853,81.5451765717791,0.2207453685509769,0.3385758622327738,0.0837890276176608,0.09443750740735,0.1850821357641067,206.2494885358708
35,approche,178.12071594888084,29.139383655704297,21.85274419207649,20.24492418894322,150.83114077335327,178.87592728818473,3.1542050014820657,40.56174581514348,28.62757609120943,81.69699471814624,0.2250470468050117,0.3279617674699249,0.0891651780617998,0.1023927548300033,0.1942964758826756,206.2194704663156
36,approche,178.195987440846,29.105692396360592,22.952391961769173,21.18267408634724,151.1182131982488,178.7781046013298,2.998346210479075,40.73543981426618,28.741018453925733,81.87188125959673,0.2551435222475682,0.3091464977191915,0.0872667025911009,0.1005457837764858,0.1969989772268093,206.18407748703007
